"","DATE","ATM","Cash"
"1",2009-05-01,"ATM1",96
"2",2009-05-01,"ATM2",107
"3",2009-05-01,"ATM3",0
"4",2009-05-01,"ATM4",777
"5",2009-05-02,"ATM1",82
"6",2009-05-02,"ATM2",89
"7",2009-05-02,"ATM3",0
"8",2009-05-02,"ATM4",525
"9",2009-05-03,"ATM1",85
"10",2009-05-03,"ATM2",90
"11",2009-05-03,"ATM3",0
"12",2009-05-03,"ATM4",793
"13",2009-05-04,"ATM1",90
"14",2009-05-04,"ATM2",55
"15",2009-05-04,"ATM3",0
"16",2009-05-04,"ATM4",909
"17",2009-05-05,"ATM1",99
"18",2009-05-05,"ATM2",79
"19",2009-05-05,"ATM3",0
"20",2009-05-05,"ATM4",53
"21",2009-05-06,"ATM1",88
"22",2009-05-06,"ATM2",19
"23",2009-05-06,"ATM3",0
"24",2009-05-06,"ATM4",53
"25",2009-05-07,"ATM1",8
"26",2009-05-07,"ATM2",2
"27",2009-05-07,"ATM3",0
"28",2009-05-07,"ATM4",56
"29",2009-05-08,"ATM1",104
"30",2009-05-08,"ATM2",103
"31",2009-05-08,"ATM3",0
"32",2009-05-08,"ATM4",559
"33",2009-05-09,"ATM1",87
"34",2009-05-09,"ATM2",107
"35",2009-05-09,"ATM3",0
"36",2009-05-09,"ATM4",905
"37",2009-05-10,"ATM1",93
"38",2009-05-10,"ATM2",118
"39",2009-05-10,"ATM3",0
"40",2009-05-10,"ATM4",880
"41",2009-05-11,"ATM1",86
"42",2009-05-11,"ATM2",75
"43",2009-05-11,"ATM3",0
"44",2009-05-11,"ATM4",275
"45",2009-05-12,"ATM1",111
"46",2009-05-12,"ATM2",111
"47",2009-05-12,"ATM3",0
"48",2009-05-12,"ATM4",397
"49",2009-05-13,"ATM1",75
"50",2009-05-13,"ATM2",25
"51",2009-05-13,"ATM3",0
"52",2009-05-13,"ATM4",275
"53",2009-05-14,"ATM1",6
"54",2009-05-14,"ATM2",16
"55",2009-05-14,"ATM3",0
"56",2009-05-14,"ATM4",17
"57",2009-05-15,"ATM1",102
"58",2009-05-15,"ATM2",137
"59",2009-05-15,"ATM3",0
"60",2009-05-15,"ATM4",853
"61",2009-05-16,"ATM1",73
"62",2009-05-16,"ATM2",95
"63",2009-05-16,"ATM3",0
"64",2009-05-16,"ATM4",380
"65",2009-05-17,"ATM1",92
"66",2009-05-17,"ATM2",103
"67",2009-05-17,"ATM3",0
"68",2009-05-17,"ATM4",32
"69",2009-05-18,"ATM1",82
"70",2009-05-18,"ATM2",80
"71",2009-05-18,"ATM3",0
"72",2009-05-18,"ATM4",492
"73",2009-05-19,"ATM1",86
"74",2009-05-19,"ATM2",118
"75",2009-05-19,"ATM3",0
"76",2009-05-19,"ATM4",84
"77",2009-05-20,"ATM1",73
"78",2009-05-20,"ATM2",30
"79",2009-05-20,"ATM3",0
"80",2009-05-20,"ATM4",129
"81",2009-05-21,"ATM1",20
"82",2009-05-21,"ATM2",7
"83",2009-05-21,"ATM3",0
"84",2009-05-21,"ATM4",15
"85",2009-05-22,"ATM1",100
"86",2009-05-22,"ATM2",118
"87",2009-05-22,"ATM3",0
"88",2009-05-22,"ATM4",816
"89",2009-05-23,"ATM1",93
"90",2009-05-23,"ATM2",104
"91",2009-05-23,"ATM3",0
"92",2009-05-23,"ATM4",759
"93",2009-05-24,"ATM1",90
"94",2009-05-24,"ATM2",59
"95",2009-05-24,"ATM3",0
"96",2009-05-24,"ATM4",602
"97",2009-05-25,"ATM1",94
"98",2009-05-25,"ATM2",40
"99",2009-05-25,"ATM3",0
"100",2009-05-25,"ATM4",907
"101",2009-05-26,"ATM1",98
"102",2009-05-26,"ATM2",106
"103",2009-05-26,"ATM3",0
"104",2009-05-26,"ATM4",503
"105",2009-05-27,"ATM1",73
"106",2009-05-27,"ATM2",18
"107",2009-05-27,"ATM3",0
"108",2009-05-27,"ATM4",89
"109",2009-05-28,"ATM1",10
"110",2009-05-28,"ATM2",9
"111",2009-05-28,"ATM3",0
"112",2009-05-28,"ATM4",36
"113",2009-05-29,"ATM1",97
"114",2009-05-29,"ATM2",136
"115",2009-05-29,"ATM3",0
"116",2009-05-29,"ATM4",339
"117",2009-05-30,"ATM1",102
"118",2009-05-30,"ATM2",118
"119",2009-05-30,"ATM3",0
"120",2009-05-30,"ATM4",5
"121",2009-05-31,"ATM1",85
"122",2009-05-31,"ATM2",64
"123",2009-05-31,"ATM3",0
"124",2009-05-31,"ATM4",123
"125",2009-06-01,"ATM1",85
"126",2009-06-01,"ATM2",77
"127",2009-06-01,"ATM3",0
"128",2009-06-01,"ATM4",151
"129",2009-06-02,"ATM1",108
"130",2009-06-02,"ATM2",133
"131",2009-06-02,"ATM3",0
"132",2009-06-02,"ATM4",722
"133",2009-06-03,"ATM1",94
"134",2009-06-03,"ATM2",45
"135",2009-06-03,"ATM3",0
"136",2009-06-03,"ATM4",444
"137",2009-06-04,"ATM1",14
"138",2009-06-04,"ATM2",14
"139",2009-06-04,"ATM3",0
"140",2009-06-04,"ATM4",18
"141",2009-06-05,"ATM1",3
"142",2009-06-05,"ATM2",20
"143",2009-06-05,"ATM3",0
"144",2009-06-05,"ATM4",15
"145",2009-06-06,"ATM1",96
"146",2009-06-06,"ATM2",147
"147",2009-06-06,"ATM3",0
"148",2009-06-06,"ATM4",741
"149",2009-06-07,"ATM1",109
"150",2009-06-07,"ATM2",105
"151",2009-06-07,"ATM3",0
"152",2009-06-07,"ATM4",1059
"153",2009-06-08,"ATM1",96
"154",2009-06-08,"ATM2",132
"155",2009-06-08,"ATM3",0
